corpus,record,side,N,k,eps,I,room,resid,cells,npc,symbol_ok,cell_ok,room_ok,saturated,screen,q95_global,clear_global,strat_cover,q95_strat,clear_strat,q95_local,clear_local,q95_circ,clear_circ
C3,1034_34_245_0,user,31,2,0.055568342958915544,0.04831795408130768,0.8695230325120826,0.821205078430775,7,4.43,True,True,True,False,PASS,0.17564,False,1.0,0.22414,False,0.16388,False,0.27705,False
C3,1035_733_760_32,model,28,2,0.0034431602622279145,0.0029467865169020557,0.855837745697995,0.8528909591810929,7,4.0,True,True,True,False,PASS,0.20482,False,1.0,0.12991,False,0.17461,False,0.07637,False
C3,1035_733_760_32,user,28,2,0.42373124331141393,0.40276080139346726,0.9505100408597088,0.5477492394662415,6,4.67,True,True,True,False,PASS,0.17697,True,1.0,0.16899,True,0.15341,True,0.03501,True
C3,1036_1337_712_23,model,38,2,0.04944416291482966,0.049530576055112574,1.0017476914399737,0.9522171153848611,8,4.75,True,True,True,False,PASS,0.09409,False,1.0,0.0913,False,0.09785,False,0.07991,False
C3,1036_1337_712_23,user,38,2,0.12038254073758996,0.12383571133955695,1.0286849785758736,0.9048492672363166,7,5.43,True,True,True,False,PASS,0.07844,True,1.0,0.11979,True,0.10304,True,0.07101,True
C3,1037_130_813_19,model,29,2,0.016029104725911843,0.015027701114690872,0.9375259174891937,0.9224982163745028,6,4.83,True,True,True,False,PASS,0.18638,False,1.0,0.08836,False,0.1468,False,0.43174,False
C3,1037_130_813_19,user,29,2,0.5837403750135699,0.5247970989551751,0.8990248429243488,0.3742277439691737,6,4.83,True,True,True,False,PASS,0.18216,True,1.0,0.205,True,0.18344,True,0.3752,True
C3,1038_681_733_23,model,27,2,0.050972435868085066,0.05201294439364035,1.0204131607178453,0.9684002163242049,6,4.5,True,True,True,False,PASS,0.14392,False,1.0,0.05097,False,0.12808,False,0.37455,False
C3,1038_681_733_23,user,27,2,0.33391099095599586,0.30379536677327523,0.9098094252707921,0.6060140584975169,6,4.5,True,True,True,False,PASS,0.18898,True,1.0,0.1277,True,0.19362,True,0.32609,True
C3,1039_977_1121_23,model,25,2,0.12968367459260471,0.13075993763078597,1.0082991405168176,0.8775392028860316,7,3.57,True,True,True,False,PASS,0.17512,False,1.0,0.17512,False,0.19446,False,0.18368,False
C3,1039_977_1121_23,user,25,2,0.06497227697037018,0.0643006074588377,0.9896622137494306,0.9253616062905929,8,3.12,True,True,True,False,PASS,0.18501,False,1.0,0.18397,False,0.15854,False,0.08976,False
C3,103_752_280_46,model,30,2,-0.04416860431852271,-0.045340710704675935,1.0265370935812361,1.071877804285912,8,3.75,True,True,True,False,PASS,0.13082,False,1.0,0.10637,False,0.1508,False,0.16572,False
C3,103_752_280_46,user,30,2,0.19132465070623536,0.17650265138147891,0.9225295889994096,0.7460269376179307,7,4.29,True,True,True,False,PASS,0.15207,True,1.0,0.18938,True,0.17191,True,0.27768,False
C3,1040_902_903_35,model,26,2,0.13013535297907303,0.10851967524201378,0.833898496893959,0.7253788216519452,6,4.33,True,True,True,False,PASS,0.1925,False,1.0,0.19062,False,0.1925,False,0.33689,False
C3,1040_902_903_35,user,26,2,0.19803586318641256,0.19434296829218822,0.9813523932746051,0.7870094249824169,6,4.33,True,True,True,False,PASS,0.17888,True,1.0,0.16908,True,0.18341,True,0.22943,False
C3,1041_101_803_53,model,24,2,0.06258233555994172,0.054369313775835315,0.8687645369796094,0.8143952232037741,6,4.0,True,True,True,False,PASS,0.19465,False,1.0,0.25282,False,0.17613,False,0.19465,False
C3,1041_101_803_53,user,24,2,0.35102065499779234,0.32609472597996325,0.9289901358711047,0.6028954098911414,7,3.43,True,True,True,False,PASS,0.21293,True,1.0,0.21293,True,0.16812,True,0.06888,True
C3,1042_233_1333_13,model,31,2,0.728822789359198,0.6884334080212533,0.9445827134831277,0.2561493054618744,5,6.2,True,True,True,False,PASS,0.14151,True,1.0,0.16776,True,0.18095,True,0.44799,True
C3,1042_233_1333_13,user,31,2,0.12919155819326794,0.11751256858129788,0.909599436872659,0.7920868682913611,5,6.2,True,True,True,False,PASS,0.15483,False,1.0,0.12919,False,0.1478,False,0.39023,False
C3,1044_602_1242_19,model,39,2,-0.032106974783988815,-0.03142678291983558,0.9788148254785924,1.010241608398428,8,4.88,True,True,True,False,PASS,0.11087,False,1.0,0.12048,False,0.10019,False,0.05572,False
C3,1044_602_1242_19,user,39,2,0.43034519409937855,0.3949034686222036,0.9176434965159842,0.5227400278937806,7,5.57,True,True,True,False,PASS,0.11969,True,1.0,0.12624,True,0.11884,True,0.15481,True
C3,1045_444_723_32,model,28,2,0.15090507609415338,0.1536161387059347,1.017965350682371,0.8643492119764362,7,4.0,True,True,True,False,PASS,0.15091,False,1.0,0.15091,False,0.16005,False,0.05136,True
C3,1045_444_723_32,user,28,2,0.022735819892090333,0.02063735813158296,0.9077023933833407,0.8870650352517577,7,4.0,True,True,True,False,PASS,0.15217,False,1.0,0.23337,False,0.18086,False,0.18836,False
C3,1046_529_362_32,model,36,2,-0.02653967475060555,-0.024586864683348364,0.9264192163013366,0.951006080984685,8,4.5,True,True,True,False,PASS,0.1332,False,1.0,0.1332,False,0.12296,False,0.11723,False
C3,1046_529_362_32,user,36,2,-0.037480111196222694,-0.03763578960011715,1.0041536270551445,1.0417894166552617,8,4.5,True,True,True,False,PASS,0.11654,False,1.0,0.13489,False,0.12752,False,0.14221,False
C3,1047_990_1410_0,model,35,2,0.09522147366570863,0.09308898565477586,0.9776049673583163,0.8845159817035404,8,4.38,True,True,True,False,PASS,0.11458,False,1.0,0.11251,False,0.09969,False,0.17878,False
C3,1047_990_1410_0,user,35,2,0.11647211287659957,0.11710997612723717,1.0054765319773447,0.8883665558501075,7,5.0,True,True,True,False,PASS,0.11647,False,1.0,0.11647,False,0.12737,False,0.23775,False
C3,1048_2_3_35,model,30,2,-0.023094984181733492,-0.02298883685857489,0.9954038798068303,1.0183927166654052,6,5.0,True,True,True,False,PASS,0.14577,False,1.0,0.08359,False,0.10408,False,0.27726,False
C3,1048_2_3_35,user,30,2,0.6947588669325843,0.6340314643591367,0.9125921158206101,0.27856065146147335,5,6.0,True,True,True,False,PASS,0.19375,True,1.0,0.1559,True,0.1559,True,0.24263,True
C3,1049_858_285_18,model,32,2,0.11115628443144836,0.08207420031751889,0.7383676122076138,0.6562934118900949,6,5.33,True,True,True,False,PASS,0.11116,False,1.0,0.11116,False,0.08385,True,0.04737,True
C3,1049_858_285_18,user,32,2,0.029889008970060006,0.03047096371845104,1.0194705267402469,0.9889995630217958,7,4.57,True,True,True,False,PASS,0.13038,False,1.0,0.11434,False,0.14391,False,0.26017,False
C3,104_979_1402_40,model,31,2,-0.02016611868528968,-0.02082116233115361,1.0324823857325482,1.0533035480637019,8,3.88,True,True,True,False,PASS,0.13728,False,1.0,0.12241,False,0.12372,False,0.17773,False
C3,104_979_1402_40,user,31,2,0.095689439914978,0.08575387075317342,0.8961685932049291,0.8104147224517557,8,3.88,True,True,True,False,PASS,0.15055,False,1.0,0.18052,False,0.18221,False,0.20026,False
C3,1050_1098_1126_59,model,27,2,0.28018951861656716,0.24471436511671707,0.8733887203382614,0.6286743552215444,7,3.86,True,True,True,False,PASS,0.23929,True,1.0,0.24125,True,0.2379,True,0.07391,True
C3,1050_1098_1126_59,user,27,2,0.19968413680142277,0.205366288570342,1.0284556993857248,0.8230894108153828,6,4.5,True,True,True,False,PASS,0.15339,True,1.0,0.17994,True,0.12713,True,0.15037,True
C3,1051_902_578_23,model,27,2,0.02365472853021818,0.02487001379134024,1.0513759969627032,1.026505983171363,7,3.86,True,True,True,False,PASS,0.17627,False,1.0,0.08388,False,0.15819,False,0.20153,False
C3,1051_902_578_23,user,27,2,0.3666315707172563,0.3427422433889452,0.9348410523360674,0.5920988089471222,6,4.5,True,True,True,False,PASS,0.20713,True,1.0,0.18685,True,0.18685,True,0.24393,True
C3,1052_2_261_23,model,25,2,0.007007703017238418,0.0070081269990263095,1.00006050224829,0.9930523752492637,8,3.12,True,True,True,False,PASS,0.17907,False,1.0,0.18654,False,0.18933,False,0.04425,False
