N,k,beta,rho,gamma,nonstat,imbal,kind,global_rate,global_lo,global_hi,global_n,strat_rate,strat_lo,strat_hi,strat_n,local_rate,local_lo,local_hi,local_n,circ_rate,circ_lo,circ_hi,circ_n
250,3,2.0,0.0,0.8,False,4.0,power,0.735,0.6698,0.7913,200,0.755,0.691,0.8094,200,0.755,0.691,0.8094,200,0.71,0.6436,0.7685,200
250,3,2.0,0.0,0.0,True,1.0,type_I,0.08,0.0498,0.126,200,0.07,0.0422,0.1141,200,0.065,0.0384,0.108,200,0.085,0.0537,0.1319,200
250,3,2.0,0.0,0.8,True,1.0,power,0.855,0.7995,0.8971,200,0.84,0.7829,0.8843,200,0.845,0.7884,0.8886,200,0.855,0.7995,0.8971,200
250,3,2.0,0.0,0.0,True,4.0,type_I,0.065,0.0384,0.108,200,0.06,0.0347,0.1019,200,0.065,0.0384,0.108,200,0.06,0.0347,0.1019,200
250,3,2.0,0.0,0.8,True,4.0,power,0.795,0.7337,0.8451,200,0.8,0.7391,0.8495,200,0.805,0.7446,0.8539,200,0.785,0.723,0.8363,200
250,3,2.0,0.5,0.0,False,1.0,type_I,0.06,0.0347,0.1019,200,0.055,0.031,0.0958,200,0.06,0.0347,0.1019,200,0.08,0.0498,0.126,200
250,3,2.0,0.5,0.8,False,1.0,power,0.77,0.7069,0.8229,200,0.785,0.723,0.8363,200,0.77,0.7069,0.8229,200,0.765,0.7016,0.8184,200
250,3,2.0,0.5,0.0,False,4.0,type_I,0.04,0.0204,0.0769,200,0.04,0.0204,0.0769,200,0.035,0.0171,0.0705,200,0.04,0.0204,0.0769,200
250,3,2.0,0.5,0.8,False,4.0,power,0.615,0.546,0.6797,200,0.69,0.6228,0.75,200,0.68,0.6125,0.7407,200,0.63,0.5612,0.6939,200
250,3,2.0,0.5,0.0,True,1.0,type_I,0.085,0.0537,0.1319,200,0.07,0.0422,0.1141,200,0.07,0.0422,0.1141,200,0.08,0.0498,0.126,200
250,3,2.0,0.5,0.8,True,1.0,power,0.8,0.7391,0.8495,200,0.775,0.7123,0.8274,200,0.775,0.7123,0.8274,200,0.785,0.723,0.8363,200
250,3,2.0,0.5,0.0,True,4.0,type_I,0.05,0.0274,0.0896,200,0.06,0.0347,0.1019,200,0.05,0.0274,0.0896,200,0.065,0.0384,0.108,200
250,3,2.0,0.5,0.8,True,4.0,power,0.835,0.7773,0.88,200,0.835,0.7773,0.88,200,0.85,0.7939,0.8929,200,0.825,0.7664,0.8714,200
800,4,0.0,0.0,0.0,False,1.0,type_I,0.065,0.0384,0.108,200,0.055,0.031,0.0958,200,0.06,0.0347,0.1019,200,0.055,0.031,0.0958,200
800,4,0.0,0.0,0.8,False,1.0,power,1.0,0.9812,1.0,200,1.0,0.9812,1.0,200,1.0,0.9812,1.0,200,1.0,0.9812,1.0,200
