N,k,beta,rho,gamma,nonstat,imbal,kind,mean_eps,global_rate,global_lo,global_hi,global_n,strat_rate,strat_lo,strat_hi,strat_n,local_rate,local_lo,local_hi,local_n,circ_rate,circ_lo,circ_hi,circ_n
24,2,2.0,0.5,0.0,False,4.0,type_I,0.0422,0.0441,0.0259,0.0739,295,0.0102,0.0035,0.0296,294,0.0644,0.0416,0.0984,295,0.1525,0.116,0.198,295
24,2,2.0,0.5,0.8,False,4.0,power,0.0994,0.1384,0.1033,0.183,289,0.1119,0.0804,0.1537,286,0.1419,0.1063,0.1868,289,0.2699,0.222,0.3238,289
24,2,2.0,0.5,0.0,True,1.0,type_I,0.0473,0.0336,0.0183,0.0607,298,0.0101,0.0034,0.0293,297,0.0369,0.0207,0.0649,298,0.1913,0.1507,0.2397,298
24,2,2.0,0.5,0.8,True,1.0,power,0.1251,0.1892,0.1487,0.2377,296,0.1458,0.11,0.1906,295,0.1858,0.1456,0.234,296,0.3277,0.2767,0.3831,296
24,2,2.0,0.5,0.0,True,4.0,type_I,0.0443,0.0306,0.0162,0.0571,294,0.0239,0.0116,0.0485,293,0.034,0.0186,0.0615,294,0.1667,0.1284,0.2135,294
24,2,2.0,0.5,0.8,True,4.0,power,0.1113,0.1615,0.1237,0.2082,291,0.1359,0.101,0.1804,287,0.1753,0.1359,0.2231,291,0.3299,0.2784,0.3858,291
30,2,0.0,0.0,0.0,False,1.0,type_I,0.0319,0.0436,0.0257,0.0732,298,0.0336,0.0183,0.0607,298,0.0436,0.0257,0.0732,298,0.0805,0.0547,0.117,298
30,2,0.0,0.0,0.8,False,1.0,power,0.1381,0.2929,0.2441,0.3471,297,0.2795,0.2315,0.3331,297,0.2997,0.2504,0.3541,297,0.3535,0.3014,0.4095,297
30,2,0.0,0.0,0.0,False,4.0,type_I,0.0412,0.034,0.0186,0.0615,294,0.0205,0.0095,0.0441,292,0.0408,0.0235,0.07,294,0.0816,0.0555,0.1186,294
30,2,0.0,0.0,0.8,False,4.0,power,0.1156,0.2107,0.1683,0.2604,299,0.1684,0.1301,0.2151,297,0.2007,0.1592,0.2497,299,0.2575,0.2113,0.3099,299
30,2,0.0,0.0,0.0,True,1.0,type_I,0.0359,0.04,0.023,0.0686,300,0.03,0.0159,0.056,300,0.05,0.0305,0.0808,300,0.0867,0.0598,0.124,300
30,2,0.0,0.0,0.8,True,1.0,power,0.1124,0.2233,0.1799,0.2738,300,0.1933,0.1526,0.2418,300,0.2167,0.1738,0.2667,300,0.2567,0.2105,0.309,300
30,2,0.0,0.0,0.0,True,4.0,type_I,0.0483,0.0338,0.0185,0.0611,296,0.0339,0.0185,0.0613,295,0.0507,0.0309,0.0819,296,0.0676,0.0442,0.1021,296
30,2,0.0,0.0,0.8,True,4.0,power,0.1219,0.2339,0.1892,0.2854,295,0.2007,0.1589,0.2502,294,0.2407,0.1954,0.2926,295,0.2441,0.1985,0.2962,295
30,2,0.0,0.5,0.0,False,1.0,type_I,0.0356,0.03,0.0159,0.056,300,0.0267,0.0136,0.0517,300,0.0367,0.0206,0.0645,300,0.07,0.0462,0.1046,300
30,2,0.0,0.5,0.8,False,1.0,power,0.142,0.2626,0.2158,0.3155,297,0.2559,0.2096,0.3084,297,0.266,0.219,0.319,297,0.2828,0.2346,0.3366,297
30,2,0.0,0.5,0.0,False,4.0,type_I,0.0363,0.0476,0.0286,0.0783,294,0.0306,0.0162,0.0571,294,0.0544,0.0338,0.0866,294,0.0578,0.0364,0.0906,294
30,2,0.0,0.5,0.8,False,4.0,power,0.1134,0.2245,0.1805,0.2756,294,0.2014,0.1594,0.251,293,0.2449,0.1992,0.2971,294,0.2483,0.2024,0.3007,294
30,2,0.0,0.5,0.0,True,1.0,type_I,0.043,0.0606,0.0387,0.0938,297,0.0505,0.0308,0.0816,297,0.0572,0.036,0.0897,297,0.0976,0.0688,0.1367,297
30,2,0.0,0.5,0.8,True,1.0,power,0.1081,0.1864,0.1461,0.2348,295,0.1559,0.119,0.2017,295,0.1932,0.1522,0.2421,295,0.2237,0.1799,0.2747,295
